Date,Contract1,Contract2
2020-01-02 09:00:00,CLG0,CLH0
2020-01-15 09:00:00,CLH0,CLJ0
2020-02-14 09:00:00,CLJ0,CLK0
2020-03-17 09:00:00,CLK0,CLM0
2020-04-17 09:00:00,CLM0,CLN0
2020-05-14 09:00:00,CLN0,CLQ0
2020-06-15 09:00:00,CLQ0,CLU0
2020-07-15 09:00:00,CLU0,CLV0
2020-08-14 09:00:00,CLV0,CLX0
2020-09-18 09:00:00,CLX0,CLZ0
2020-10-16 09:00:00,CLZ0,CLF1
2020-11-17 09:00:00,CLF1,CLG1
2020-12-16 09:00:00,CLG1,CLH1
2021-01-15 09:00:00,CLH1,CLJ1
2021-02-17 09:00:00,CLJ1,CLK1
2021-03-17 09:00:00,CLK1,CLM1
2021-04-14 09:00:00,CLM1,CLN1
2021-05-28 09:00:00,CLN1,CLQ1
