Date,Contract1,Contract2
2020-01-16 09:00:00,FFBG0,FFBH0
2020-02-20 09:00:00,FFBH0,FFBJ0
2020-03-19 09:00:00,FFBJ0,FFBK0
2020-04-16 09:00:00,FFBK0,FFBM0
2020-05-14 09:00:00,FFBM0,FFBN0
2020-06-18 09:00:00,FFBN0,FFBQ0
2020-07-16 09:00:00,FFBQ0,FFBU0
2020-08-20 09:00:00,FFBU0,FFBV0
2020-09-17 09:00:00,FFBV0,FFBX0
2020-10-15 09:00:00,FFBX0,FFBZ0
2020-11-19 09:00:00,FFBZ0,FFBF1
2020-12-17 09:00:00,FFBF1,FFBG1
2021-01-14 09:00:00,FFBG1,FFBH1
2021-02-18 09:00:00,FFBH1,FFBJ1
2021-03-18 09:00:00,FFBJ1,FFBK1
2021-04-15 09:00:00,FFBK1,FFBM1
2021-05-20 09:00:00,FFBM1,FFBN1
2021-06-18 09:00:00,FFBN1,FFBU1
