Date,Contract1,Contract2
2020-01-16 09:00:00,IFBG0,IFBH0
2020-02-20 09:00:00,IFBH0,IFBJ0
2020-03-19 09:00:00,IFBJ0,IFBK0
2020-04-16 09:00:00,IFBK0,IFBM0
2020-05-14 09:00:00,IFBM0,IFBN0
2020-06-18 09:00:00,IFBN0,IFBQ0
2020-07-16 09:00:00,IFBQ0,IFBU0
2020-08-20 09:00:00,IFBU0,IFBV0
2020-09-17 09:00:00,IFBV0,IFBX0
2020-10-15 09:00:00,IFBX0,IFBZ0
2020-11-19 09:00:00,IFBZ0,IFBF1
2020-12-17 09:00:00,IFBF1,IFBG1
2021-01-14 09:00:00,IFBG1,IFBH1
2021-02-18 09:00:00,IFBH1,IFBJ1
2021-03-18 09:00:00,IFBJ1,IFBK1
2021-04-15 09:00:00,IFBK1,IFBM1
