Date,Contract
2020-01-16 09:00:00,XUG0
2020-02-20 09:00:00,XUH0
2020-03-19 09:00:00,XUJ0
2020-04-16 09:00:00,XUK0
2020-05-14 09:00:00,XUM0
2020-06-18 09:00:00,XUN0
2020-07-16 09:00:00,XUQ0
2020-08-20 09:00:00,XUU0
2020-09-17 09:00:00,XUV0
2020-10-15 09:00:00,XUX0
2020-11-19 09:00:00,XUZ0
2020-12-17 09:00:00,XUF1
2021-01-14 09:00:00,XUG1
2021-02-18 09:00:00,XUH1
2021-03-18 09:00:00,XUJ1
2021-04-15 09:00:00,XUK1
2021-05-20 09:00:00,XUM1
2021-06-28 09:00:00,XUN1
2021-07-30 09:00:00,XUQ1
2021-08-31 09:00:00,XUU1
